name,type,state,latitude,longitude,source,source_url,notes
Mississippi River - St. Louis,river,MO,38.627,-90.18,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Mississippi River - Memphis,river,TN,35.149,-90.049,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Mississippi River - Baton Rouge,river,LA,30.451,-91.187,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Missouri River - Kansas City,river,MO,39.099,-94.578,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Missouri River - Omaha,river,NE,41.258,-95.938,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Ohio River - Pittsburgh,river,PA,40.441,-80.01,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Ohio River - Cincinnati,river,OH,39.103,-84.512,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Ohio River - Louisville,river,KY,38.254,-85.759,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Tennessee River - Chattanooga,river,TN,35.045,-85.309,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Tennessee River - Florence,river,AL,34.799,-87.677,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Columbia River - Richland,river,WA,46.276,-119.273,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Columbia River - Portland,river,OR,45.56,-122.68,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Snake River - Boise region,river,ID,43.188,-112.719,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Colorado River - Lake Havasu,river/lake,AZ,34.483,-114.322,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river and reservoir system.
Colorado River - Austin,river,TX,30.267,-97.743,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on Texas Colorado River.
Rio Grande - El Paso,river,TX,31.761,-106.485,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Red River - Shreveport,river,LA,32.525,-93.75,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Arkansas River - Tulsa,river,OK,36.154,-95.993,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Arkansas River - Little Rock,river,AR,34.746,-92.289,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Susquehanna River - Harrisburg,river,PA,40.273,-76.887,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Potomac River - Northern Virginia,river,VA,38.969,-77.386,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
James River - Richmond,river,VA,37.54,-77.436,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Savannah River - Augusta,river,GA,33.473,-81.967,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Chattahoochee River - Atlanta,river,GA,33.809,-84.444,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Delaware River - Philadelphia,river,PA,39.952,-75.135,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Hudson River - New York,river,NY,40.79,-73.98,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
