id,name,developer,status,status_group,category,facility_type,ai_classification,confidence,capacity_mw,operational_capacity_mw,planned_capacity_mw,capacity_label,landscape_weight,location,city,county,state,latitude,longitude,precision,powered_by,energy_source,utility,onsite_generation_mw,water_cooling_type,water_reported_mgd,water_notes,community_status,investment_usd,land_acres,jobs_construction,jobs_permanent,nearest_nuclear_name,nearest_nuclear_state,nearest_nuclear_distance_mi,nearest_nuclear_capacity_mw,nearest_nuclear_latitude,nearest_nuclear_longitude,nearest_power_name,nearest_power_state,nearest_power_distance_mi,nearest_power_capacity_mw,nearest_power_source,nearest_power_latitude,nearest_power_longitude,nearest_water_name,nearest_water_type,nearest_water_distance_mi,nearest_water_latitude,nearest_water_longitude,source,source_url,source_count,notes
stak-energy-north-slope-ak,Stak Energy North Slope Data Center,Stak Energy,Proposed,Proposed,confirmed,data_center,confirmed,reported,3000.0,,3000.0,"3,000 MW planned",715.0,"North Slope, AK",,North Slope,AK,69.84,-148.5,exact,"On-site natural gas generation (off-grid, new pipeline from North Slope reserves)",on_site_gas,,3000.0,air,,Arctic air cooling reduces water consumption by 90%+ compared to industry norms per company. Sub-freezing average temperatures enable free air cooling.,mixed,500000000.0,715.0,,,Columbia Generating Station,WA,1892.6,1200.0,46.4711,-119.3339,TNSG South Plant,AK,24.9,7.8,NG,70.2,-148.4667,Columbia River - Portland,river,1896.2,45.56,-122.68,Alaska's North Slope Proposed as Home for Massive AI Data Center,https://alaskapublic.org/news/economy/energy/2026-05-26/alaskas-north-slope-proposed-as-home-for-massive-ai-data-center,2,"Preliminary state land lease approval covers 715.4 acres (corrected from 640; one square mile = 640 acres exactly but the approved lease footprint is 715.4 acres per Alaska Beacon). Campus is approximately 26 miles south of Deadhorse/Prudhoe Bay off the Dalton Highway (corrected from 25 miles). Supports AI training, cloud computing, and HPC. 3 GW is the project's claimed ultimate potential; $500M is Phase 1 capital. Coordinates estimated (~26 miles south of Prudhoe Bay 70.2N/148.5W); exact site not publicly disclosed."
google-jackson-county-stevenson-al,Google Jackson County Campus,Google,Operating,Operating,likely,data_center,likely,confirmed,,,,,360.0,"Stevenson, Jackson County, AL",Stevenson,Jackson County,AL,34.8842,-85.755,exact,Tennessee Valley Authority (TVA),grid,,,unknown,,"Site sits on Guntersville Reservoir (Tennessee River), which historically cooled the coal plant; data-center cooling type not publicly confirmed.",supported,1500000000.0,360.0,,,Sequoyah,TN,44.4,2441.0,35.2267,-85.0917,Nickajack,TN,11.1,103.9,WAT,35.0017,-85.6218,Tennessee River - Chattanooga,river,27.6,35.045,-85.309,Google Blog: Alabama Investment - Jackson County Campus Expansion (June 2026),https://blog.google/innovation-and-ai/infrastructure-and-cloud/global-network/alabama-investment-june-2026/,5,"Campus operational since 2019 at the former TVA Widows Creek coal-plant site (~4.8 mi east of Stevenson). Recorded status is 'operational' (the campus is built and running); a $1.5B expansion announced June 15 2026 is under construction for 2026-2027 (captured in statusHistory). CAPACITY OMITTED: the widely cited 300 MW is Google's contracted new generation across the Tennessee Valley REGION, not a campus-specific figure. TVA partnership also includes a 2025 Kairos Power agreement for up to 50 MW of advanced nuclear for Google's AL/TN data centers (~2035). Construction workforce of 1,000+ is a projection (in notes, not jobs). Baxtel labels this 'Google Bridgeport'; TVA/Wikipedia/postal (35772) place Widows Creek near Stevenson - Stevenson used. 360-acre site; coordinates from the Widows Creek plant."
meta-huntsville-al,Meta Huntsville Data Center Campus,Meta,Operating,Operating,confirmed,data_center,confirmed,confirmed,,,,,8,"Huntsville, Madison County, AL",Huntsville,Madison County,AL,34.726,-86.647,exact,,mixed,TVA,,,,,supported,1500000000.0,,,300.0,Browns Ferry,AL,26.8,3854.0,34.7042,-87.1189,TAI Huntsville Solar Hybrid,AL,7.2,32.4,SUN,34.829551,-86.63035,Tennessee River - Florence,river,58.7,34.799,-87.677,"Meta's Huntsville, Alabama, data center expansion next to be stopped amid AI pivot",https://www.datacenterdynamics.com/en/news/metas-huntsville-alabama-data-center-expansion-next-to-be-stopped-amid-ai-pivot/,3,"Address: 5400 Prosperity Dr NW, Huntsville, AL. Coordinates are approximate for Cummings Research Park area. Original 2.5M sq ft campus operational; expansion to 3.5M sq ft paused December 2022 for AI architecture redesign; Meta stated no intent to abandon site. Over 85 grants and $4.2M in sponsorships to Huntsville-area schools since 2019. Meta's stated investment rose to more than $1.5B with the June 2022 expansion (original 2018 build ~$750M); the 3.5M-sq-ft expansion was later paused for AI redesign, so the ultimately realized figure is uncertain. Alabama's standard data-center abatement (Chapter 9B) likely applies, but no dollar figure was found in public sources."
meta-montgomery-al,Meta Montgomery Data Center,Meta,Under construction,Under construction,confirmed,data_center,confirmed,confirmed,,,,,8,"Montgomery, Montgomery County, AL",Montgomery,Montgomery County,AL,32.185,-86.273,exact,,solar,,,,,,supported,1500000000.0,,,100.0,Joseph M Farley,AL,95.3,1776.4,31.2231,-85.1116,Black Bear Solar 1,AL,3.3,100.0,SUN,32.196971,-86.32734,Chattahoochee River - Atlanta,river,154.3,33.809,-84.444,Governor Ivey Announces Meta Plans to Build $800 Million Data Center in Montgomery,https://governor.alabama.gov/newsroom/2024/05/governor-ivey-announces-meta-plans-to-build-800-million-next-generation-data-center-in-montgomery/,2,"Located off I-65 in southern Montgomery County across from Hyundai Motor Manufacturing Alabama (HMMA) plant (Hope Hull area, approximately I-65 Exit 164). Coordinates corrected to approximate HMMA corridor (~32.185 N, ~86.273 W); original record used central Montgomery city coordinates (32.362, -86.301) which are approximately 13 miles north of the Hyundai plant area. Originally announced as $800M, expanded September 2025 to $1.5B with 1.3M sq ft footprint. Expected online end of 2026. Meta's 24th global data hub and 20th in the US."
nebius-bhm01-birmingham-al,Nebius Birmingham AI Factory (BHM01),Nebius Group,Under construction,Under construction,confirmed,data_center,confirmed,confirmed,300.0,,300.0,300 MW planned,80.0,"Birmingham, Jefferson County, AL",Birmingham,Jefferson County,AL,33.4556,-86.8131,exact,Alabama Power (APCO),grid,,,closed_loop,,,litigation,,80.0,,,Browns Ferry,AL,88.0,3854.0,34.7042,-87.1189,ABC Coke,AL,9.0,3.8,OG,33.582793,-86.77987,Tennessee River - Florence,river,105.2,34.799,-87.677,"Nebius x Birmingham, Alabama - Official Project Page",https://nebius.com/birminghamal,6,"Nebius Group's Birmingham AI Factory (site code BHM01); distinct from nebius-vineland-nj and nebius-independence-mo. Capacity phased: Phase I = 100 MW (targeted H2 2026), Phase II adds 200 MW (full 300 MW by 2027-2028). Land acquisition $90M confirmed (2025-09-30); ~$855M in construction permits issued (April 2026) with $2.1B more under review; total capex described as 'tens of billions' (a projection) - so investmentUsd is omitted. ~100-125 projected permanent jobs (in notes, not jobs). Site: former Regions Lakeshore Operations Center (~80 acres) acquired from UAB, Regions Bank, and U.S. Steel; general contractor Hoar Construction. Coordinates address-approximate (201 Milan Pkwy, Oxmoor Corporate Park)."
qts-marvel-bessemer-al,QTS Bessemer (Project Marvel),QTS Data Centers (Blackstone),Proposed,Proposed,likely,data_center,likely,reported,1200.0,,1200.0,"1,200 MW planned",1607.0,"Bessemer, Jefferson County, AL",Bessemer,Jefferson County,AL,33.44,-86.97,exact,Alabama Power,grid,Alabama Power,,closed_loop,,"QTS committed to a closed-loop cooling system that does not consume water for cooling once operational. Opposition groups including Black Warrior Riverkeeper raised concerns about water impacts during construction and operation, citing proximity to a Black Warrior River tributary. Tuscaloosa County flagged for potential irreversible water impacts.",contested,,1607.0,,,Browns Ferry,AL,87.8,3854.0,34.7042,-87.1189,James H Miller Jr,AL,14.2,2822.0,SUB,33.6319,-87.0597,Tennessee River - Florence,river,102.2,34.799,-87.677,QTS confirms plans for proposed data center campus in Bessemer,https://www.wbrc.com/2026/07/02/qts-confirms-plans-proposed-data-center-campus-bessemer/,8,"Codename: Project Marvel. 18-building hyperscale campus on Red Ridge near I-459 and I-20/59 interchange in Bessemer (Jefferson County). Announced capacity: up to 1,200 MW at full build-out — reported as a planned ceiling, roughly 9% of Alabama Power's current generating capacity; recorded as capacityMw.planned = 1200 (an announced 'up to' full-build-out ceiling, consistent with how the dataset records other announced full-build-out figures). Investment: reported at $14–14.5B across sources (Logistics Land Investment anticipated 'close to $14.4B'; WBRC reported $14.5B at November 2025 rezoning; DCD reported ~$14B); no single firm company-confirmed figure exists — treated as a projected cost range and excluded from investmentUsd. Land: ~1,607.42 acres total after two rezoning rounds (initial ~700 acres November 2025 + 914-acre expansion April 2026). QTS affiliate purchased land from TPA Group affiliate for $431.73M. Chapter 9B statutory eligibility would have provided a 30-year abatement estimated at $500M+; QTS committed not to seek local property tax incentives (per WBRC July 2026) — subsidy excluded as eligibility does not equal award and QTS renounced pursuit. Full buildout timeline: 7+ years. Birmingham Business Alliance estimated ~$4B net benefit over 30 years; Bessemer City Schools projected ~$25M/year. AI framing not officially confirmed by QTS or the city as of July 2026 — size and scale (hyperscale, cloud/AI demand framing in QTS statement) support 'likely' classification. Coordinates are approximate for the Red Ridge parcel area. Jobs: ~1,000 construction and ~330 permanent are projected figures for the proposed (not-yet-built) campus (WBRC, Nov 2025) — recorded as projections in notes, not structured jobs fields, per data-rigor policy."
avaio-digital-leo-little-rock-ar,AVAIO Digital Leo Campus,AVAIO Digital Partners,Proposed,Proposed,confirmed,data_center,confirmed,confirmed,1000.0,,1000.0,"1,000 MW planned",760.0,"Pulaski County, AR",,Pulaski County,AR,34.68,-92.296,exact,,mixed,Entergy Arkansas,,unknown,,"AVAIO's project manager testified to the Pulaski County Quorum Court that the campus would demand about 200,000 gallons of water per day on average during warmer months, dropping to near zero in winter; the specific cooling technology was not disclosed.",contested,6000000000.0,760.0,,500.0,Arkansas Nuclear One,AR,68.7,1845.0,35.311,-93.2351,City of Little Rock Solar Array,AR,4.8,4.9,SUN,34.69761,-92.21437,Arkansas River - Little Rock,river,4.6,34.746,-92.289,"AVAIO Digital Announces New Large-Scale AI-Ready Data Center and Power Campus in Little Rock, Arkansas",https://www.arkansasedc.com/news-events/newsroom/detail/2026/01/12/avaio-digital-announces-new-large-scale-ai-ready-data-center-and-power-campus-in-little-rock--arkansas,3,"Location: off Interstate 530 near 145th Street, Pulaski County; coordinates are approximate for the I-530 corridor south of Little Rock. Named after the Leo constellation. Initial $6B investment may grow to $21B through full build-out. First phase completion targeted June 2027. Campus sits near long-haul fiber routes connecting Dallas, Atlanta, and Memphis. Q1 2026 construction start was planned as of announcement; current construction status unconfirmed as of research date. Fix: energy.source corrected from 'on_site_gas' to 'mixed'; onSiteGenerationMw removed — the 150 MW figure is the Entergy Arkansas grid supply contract, not on-site generation; on-site gas capacity is unquantified in sources. Arkansas's data-center sales-and-use tax exemption (Act 819 of 2023, expanded by Act 548 of 2025) likely applies given the investment scale, but no AVAIO-specific incentive award has been published."
google-west-memphis-ar,Google West Memphis Data Center Campus,Google,Under construction,Under construction,confirmed,data_center,confirmed,confirmed,,,,,1178.0,"West Memphis, Crittenden County, AR",West Memphis,Crittenden County,AR,35.156,-90.175,exact,,grid,,,closed_loop,,Graywater plant planned to reuse water for equipment cooling,supported,4000000000.0,1178.0,,,Arkansas Nuclear One,AR,173.0,1845.0,35.311,-93.2351,Allen,TN,5.9,1290.1,DFO; NG,35.074087,-90.14868,Mississippi River - Memphis,river,7.1,35.149,-90.049,"Google Locating New Data Center in West Memphis, Arkansas with Multi-Billion Dollar Investment",https://www.arkansasedc.com/news-events/newsroom/detail/2025/10/02/google-locating-new-data-center-in-west-memphis--arkansas-with-multi-billion-dollar-investment,2,"Campus on Bolliger Road, West Memphis. Coordinates approximate for the Bolliger Road industrial area. $4B is Phase 1 through 2027; total planned investment is $10B, which would be the largest private capital investment in Arkansas history. Five data center buildings on 920-acre campus footprint within a 1,178-acre site (per U.S. Army Corps of Engineers filing). Fixes: (1) removed unsourced 5,000 construction jobs figure — AEDC states only 'thousands'; (2) corrected energy.source from 'solar' to 'grid' — facility draws from Entergy Arkansas; Arkansas Cypress Solar is a companion renewable project; (3) corrected landAcres from 1,200 to 1,178 per Army Corps filing."
google-port-of-little-rock-data-center-ar,Port of Little Rock Data Center,Google (via Willowbend Capital LLC),Under construction,Under construction,Data center,data_center,,confirmed,,,,,8,"Little Rock, Pulaski, AR",Little Rock,Pulaski,AR,34.746,-92.29,approximate,,,,,,,,,1000000000.0,,,,Arkansas Nuclear One,AR,66.2,1845.0,35.311,-93.2351,Murray,AR,5.1,45.4,WAT,34.7956,-92.3569,Arkansas River - Little Rock,river,0.1,34.746,-92.289,Google's $1B Port of Little Rock data center,https://www.arkansasbusiness.com/article/google-little-rock-port-data-center/,2,"380 acres, 5 industrial buildings totaling 1.43M sq ft at the Port of Little Rock. Distinct from the separately tracked Google West Memphis (Crittenden County) site roughly 130 miles away. 30-year tax abatement."
aws-laveen-az,AWS Laveen Data Center Campus,Amazon Web Services,Proposed,Proposed,mixed_use,data_center,mixed_use,reported,,,,,8,"Laveen, Maricopa, AZ",Laveen,Maricopa,AZ,33.3727,-112.1669,exact,,,,,,,,unknown,,,,,Palo Verde,AZ,40.1,4209.6,33.3881,-112.8617,TJX Phoenix,AZ,3.2,2.9,SUN,33.418481,-112.1781,Colorado River - Lake Havasu,river/lake,145.4,34.483,-114.322,"Amazon acquires 220 acres in Phoenix, Arizona for possible data center",https://www.datacenterdynamics.com/en/news/amazon-acquires-220-acres-in-phoenix-arizona-for-possible-data-center/,1,"~220-acre land acquisition ($277M) near Loop 202 & Dobbins Rd, Laveen (Phoenix), Maricopa County. No capacity, utility, or AI-specific program announced yet — recorded as proposed / mixed_use pending a construction announcement (re-review trigger). Coordinates are the Laveen area centroid."
aligned-phx13-glendale-az,Aligned PHX-13,Aligned Data Centers,Under construction,Under construction,confirmed,data_center,confirmed,confirmed,72.0,,72.0,72 MW planned,100.0,"Glendale, Maricopa, AZ",Glendale,Maricopa,AZ,33.5387,-112.186,exact,,grid,Arizona Public Service (APS),,closed_loop,,"Aligned Delta-cube closed-loop air-cooling arrays with water recycling (no evaporative draw); DeltaFlow liquid cooling planned for dense AI workloads. A marketed '>73% water reduction' is versus the site's prior agricultural (rose-farm) use, not a data-center withdrawal figure -> no MGD recorded.",supported,,100.0,,,Palo Verde,AZ,40.3,4209.6,33.3881,-112.8617,Agua Fria,AZ,2.1,737.5,MWH; NG; SUN,33.5561,-112.2153,Colorado River - Lake Havasu,river/lake,138.6,34.483,-114.322,"Aligned Data Centers breaks ground on Glendale, expanding Arizona infrastructure",https://news.constructconnect.com/aligned-data-centers-breaks-ground-on-glendale-expanding-arizona-infrastructure,4,"PHX-13, a 72 MW campus in Glendale, Maricopa County. Coordinates are the Glendale area centroid. Land acquired for $86.5M (100 acres at 8785 N Reems Rd, Dec 2024, from LXP Industrial Trust) - land cost, not campus capex -> investmentUsd omitted. No job counts disclosed -> jobs honest-zero. The campus likely uses Arizona's statutory data-center TPT exemption (A.R.S. 41-1519), but no ACA certification or GPLET agreement for this campus is public -> subsidy honest-zero."
apple-mesa-az,Apple Mesa Data Center (Global Command Center),Apple,Operating,Operating,likely,data_center,likely,confirmed,,,,,8,"Mesa, Maricopa County, AZ",Mesa,Maricopa County,AZ,33.3615205,-111.6012177,approximate,,,,,,,,,2000000000.0,,,,Palo Verde,AZ,72.8,4209.6,33.3881,-112.8617,Pediment BESS I,AZ,0.4,250.0,MWH,33.355662,-111.6021,Colorado River - Lake Havasu,river/lake,174.2,34.483,-114.322,"Grand opening for Apple's Arizona Data and Global Command Center in Mesa — $2B, 1.3M sq ft",https://mesanow.org/news/public/article/2149,2,"Apple's Global Data and Command Center at 3740 S Signal Butte Rd, Mesa, Maricopa County — a converted former GT Advanced sapphire plant (~1.3M sq ft), operational in the ~2016-2018 window, a $2B investment (Mesa Now / Data Center Knowledge), solar-powered. Functions as Apple's worldwide data-center monitoring/command hub. Apple's Feb 2025 newsroom names Arizona among states for continued data-center capacity expansion. No site-specific IT-load MW is disclosed; acreage not disclosed in fetched sources. Coordinates are an approximate geocode of the Signal Butte Rd address; a county-parcel pass could upgrade precision to exact."
prime-avondale-az,Avondale Campus,Prime Data Centers,Under construction,Under construction,Data center,data_center,,confirmed,240.0,,240.0,240 MW planned,240.0,"Avondale, Maricopa, AZ",Avondale,Maricopa,AZ,33.44,-112.35,approximate,,,,,,,,,3000000000.0,,,,Palo Verde,AZ,29.7,4209.6,33.3881,-112.8617,Estrella Mountain PV,AZ,2.2,1.8,SUN,33.409803,-112.3403,Colorado River - Lake Havasu,river/lake,134.0,34.483,-114.322,"Prime Data Centers breaks ground on three buildings at its 240MW Phoenix campus, advancing $3 billion investment in Avondale",https://primedatacenters.com/news/prime-data-centers-breaks-ground-on-three-buildings-at-its-240mw-phoenix-campus-advancing-3billion-dollar-investment-in-avondale/,1,"5-building, 66.5-acre campus; groundbreaking on first 3 buildings May 2026."
tract-buckeye-tech-corridor-az,Buckeye Tech Corridor,Tract,Permitted,Permitted,likely,data_center,likely,reported,,,,,2069.0,"Buckeye, Maricopa, AZ",Buckeye,Maricopa,AZ,33.4136,-112.7203,exact,,,,,,,,,20000000000.0,2069.0,,,Palo Verde,AZ,8.3,4209.6,33.3881,-112.8617,Sun Streams 4,AZ,5.0,600.0,MWH; SUN,33.361282,-112.7801,Colorado River - Lake Havasu,river/lake,117.8,34.483,-114.322,"Tract plans 1,700-acre data center campus in Phoenix, Arizona",https://www.datacenterdynamics.com/en/news/tract-plans-1700-acre-data-center-campus-in-phoenix-arizona/,5,"Master-planned data center park on a ~2,069-acre former residential (Cipriani) parcel Tract acquired for ~$136M, south of I-10 in Buckeye; planned for up to ~20M sq ft across as many as 40 data centers at full build-out over ~15 years (~$20B). Coordinates are an approximate town-level geocode (Buckeye, south of I-10), not a parcel-confirmed point."
